,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.0,0.0,4659.214285714285,49.5,0.0,0.0,5238.255102040816,49.5,0.0,0.0,5237.071428571428,49.5,0.0,0.0,5551.081632653061,49.5,0.0,0.0,5693.571428571428,49.5,0.0,0.0,5690.693877551021,49.5,0.0,0.0,7278.8877551020405,49.5,0.0,0.0,3970.3469387755104,52.5,0.0,0.0,4377.2959183673465,52.5,0.0,0.0,5112.530612244898,52.5,0.0,0.0,5747.361111111111,52.5,0.0,0.0,5771.416666666667,52.5,0.0,0.0,5513.069444444444,52.5,0.0,0.0,6701.083333333333,54.0,0.0,0.0,3538.9591836734694,49.5,0.0,0.0,4237.416666666667,49.5,0.0,0.0,4619.489795918367,49.5,0.0,0.0,4798.8877551020405,49.5,0.0,0.0,5634.375,49.5,0.0,0.0,5080.602040816327,49.5,0.0,0.0,6662.602040816327,49.5
1,0.0,16.0,4154.82,49.5,0.0,16.0,4580.56,49.5,0.0,16.0,5601.66,49.5,0.0,16.0,5416.14,49.5,0.0,16.0,5846.94,49.5,0.0,16.0,6258.04,49.5,0.0,16.0,5565.583333333333,49.5,0.0,1.0,3653.4861111111113,52.5,0.0,16.0,3787.82,52.5,0.0,16.0,4811.16,52.5,0.0,16.0,4558.92,52.5,0.0,16.0,4934.14,52.5,0.0,16.0,5496.46,52.5,0.0,16.0,5371.16,54.0,0.0,8.0,3310.625,49.5,0.0,16.0,3577.56,49.5,0.0,16.0,4531.24,49.5,0.0,8.0,4486.736111111111,49.5,0.0,8.0,5059.888888888889,49.5,0.0,16.0,5267.62,49.5,0.0,8.0,6060.138888888889,49.5
2,0.0,15.0,3993.277777777778,49.5,0.0,15.0,4507.930555555556,49.5,0.0,1.0,5172.097222222223,49.5,0.0,15.0,4978.972222222223,49.5,0.0,15.0,5426.444444444444,49.5,0.0,15.0,5865.75,49.5,0.0,15.0,6031.652777777777,49.5,0.0,16.0,3701.98,52.5,0.0,8.0,4023.7361111111113,52.5,0.0,12.0,4939.777777777777,52.5,0.0,15.0,4217.972222222223,52.5,0.0,15.0,4683.027777777777,52.5,0.0,15.0,5188.069444444444,52.5,0.0,15.0,5318.416666666667,54.0,0.0,1.0,3040.3611111111113,49.5,0.0,8.0,3648.2916666666665,49.5,0.0,8.0,4379.611111111111,49.5,0.0,16.0,4166.06,49.5,0.0,12.0,4793.958333333333,49.5,0.0,15.0,5403.194444444444,49.5,0.0,16.0,5732.6,49.5
3,0.0,12.0,4287.444444444444,49.5,0.0,8.0,4899.291666666667,49.5,0.0,15.0,5170.055555555556,49.5,0.0,8.0,5439.916666666667,49.5,0.0,12.0,5723.430555555556,49.5,0.0,12.0,6165.638888888889,49.5,0.0,1.0,6547.083333333333,49.5,0.0,15.0,3556.1666666666665,52.5,0.0,15.0,3437.8194444444443,52.5,0.0,15.0,4690.666666666667,52.5,0.0,4.0,4553.777777777777,52.5,0.0,12.0,4862.097222222223,52.5,0.0,12.0,5358.541666666667,52.5,0.0,8.0,5690.861111111111,54.0,0.0,16.0,3249.26,49.5,0.0,15.0,3646.4166666666665,49.5,0.0,15.0,4441.5,49.5,0.0,15.0,4027.347222222222,49.5,0.0,4.0,4958.916666666667,49.5,0.0,8.0,5200.25,49.5,0.0,15.0,5581.027777777777,49.5
4,0.0,8.0,4198.902777777777,49.5,0.0,1.0,4689.736111111111,49.5,0.0,8.0,4995.847222222223,49.5,0.0,1.0,4983.125,49.5,0.0,8.0,5597.486111111111,49.5,0.0,8.0,5805.111111111111,49.5,0.0,12.0,6426.791666666667,49.5,0.0,12.0,3774.0,52.5,0.0,12.0,3913.8055555555557,52.5,0.0,8.0,4577.430555555556,52.5,0.0,12.0,4654.722222222223,52.5,0.0,8.0,5067.263888888889,52.5,0.0,8.0,5327.347222222223,52.5,0.0,1.0,5968.5,54.0,0.0,15.0,3178.8055555555557,49.5,0.0,12.0,3564.6944444444443,49.5,0.0,12.0,4760.055555555556,49.5,0.0,12.0,4306.638888888889,49.5,0.0,16.0,5061.3,49.5,0.0,12.0,5606.180555555556,49.5,0.0,12.0,6054.375,49.5
5,0.0,1.0,4161.597222222223,49.5,0.0,12.0,5063.736111111111,49.5,0.0,4.0,5229.152777777777,49.5,0.0,12.0,5217.055555555556,49.5,0.0,1.0,5430.402777777777,49.5,0.0,1.0,5090.638888888889,49.5,0.0,8.0,6812.444444444444,49.5,0.0,8.0,3655.0138888888887,52.5,0.0,4.0,4250.152777777777,52.5,0.0,1.0,4416.513888888889,52.5,0.0,8.0,4458.902777777777,52.5,0.0,4.0,5125.138888888889,52.5,0.0,1.0,4726.875,52.5,0.0,12.0,5700.416666666667,54.0,0.0,12.0,3230.527777777778,49.5,0.0,4.0,3783.9583333333335,49.5,0.0,4.0,4563.916666666667,49.5,0.0,4.0,4528.486111111111,49.5,0.0,15.0,4539.652777777777,49.5,0.0,4.0,5251.972222222223,49.5,0.0,4.0,6182.847222222223,49.5
6,0.0,4.0,4245.041666666667,49.5,0.0,4.0,4246.061224489796,49.5,0.0,12.0,5560.166666666667,49.5,0.0,4.0,5441.152777777777,49.5,0.0,4.0,5085.285714285715,49.5,0.0,4.0,5539.908163265306,49.5,0.0,4.0,6491.777777777777,49.5,0.0,4.0,3772.027777777778,52.5,0.0,1.0,3981.527777777778,52.5,0.0,4.0,4808.097222222223,52.5,0.0,1.0,4717.041666666667,52.5,0.0,2.0,4939.819444444444,52.5,0.0,4.0,4975.361111111111,52.5,0.0,4.0,6142.527777777777,54.0,0.0,4.0,3231.9444444444443,49.5,0.0,1.0,3609.277777777778,49.5,0.0,1.0,4301.194444444444,49.5,0.0,2.0,4412.0,49.5,0.0,1.0,4805.861111111111,49.5,0.0,2.0,5085.694444444444,49.5,0.0,1.0,6139.972222222223,49.5
7,0.0,2.0,4277.708333333333,49.5,0.0,2.0,4927.833333333333,49.5,0.0,2.0,5259.569444444444,49.5,0.0,2.0,5479.555555555556,49.5,0.0,2.0,5555.027777777777,49.5,0.0,2.0,5802.694444444444,49.5,0.0,2.0,6626.402777777777,49.5,0.0,2.0,3741.4305555555557,52.5,0.0,2.0,4134.638888888889,52.5,0.0,2.0,4840.333333333333,52.5,0.0,2.0,4277.622448979592,52.5,0.0,1.0,4654.208333333333,52.5,0.0,2.0,5091.5,52.5,0.0,2.0,5891.069444444444,54.0,0.0,2.0,3230.3888888888887,49.5,0.0,2.0,3673.5,49.5,0.0,2.0,4494.680555555556,49.5,0.0,1.0,4373.0,49.5,0.0,2.0,4998.916666666667,49.5,0.0,1.0,4771.402777777777,49.5,0.0,2.0,6323.680555555556,49.5
8,1.0,2.0,3892.581632653061,49.5,1.0,2.0,2212.2638888888887,49.5,1.0,16.0,5268.222222222223,49.5,1.0,2.0,1981.5,49.5,1.0,16.0,5707.75,49.5,1.0,16.0,6013.611111111111,49.5,1.0,3.0,10225.122448979591,49.5,1.0,2.0,3060.902777777778,52.5,1.0,2.0,1731.4722222222222,52.5,1.0,16.0,4808.486111111111,52.5,1.0,2.0,1660.013888888889,52.5,1.0,16.0,4935.236111111111,52.5,1.0,3.0,37554.9453125,52.5,1.0,3.0,7472.806122448979,54.0,1.0,2.0,5629.2959183673465,49.5,1.0,16.0,3638.25,49.5,1.0,16.0,4615.652777777777,49.5,1.0,16.0,4327.541666666667,49.5,1.0,2.0,1886.5510204081634,49.5,1.0,3.0,21304.3203125,49.5,1.0,16.0,5442.583333333333,49.5
9,1.0,16.0,4336.722222222223,49.5,1.0,16.0,4877.944444444444,49.5,1.0,2.0,2302.7916666666665,49.5,1.0,16.0,5170.666666666667,49.5,1.0,2.0,5311.166666666667,49.5,1.0,2.0,2432.1805555555557,49.5,1.0,16.0,6011.5,49.5,1.0,16.0,3754.6388888888887,52.5,1.0,16.0,3733.6388888888887,52.5,1.0,2.0,1721.4166666666667,52.5,1.0,16.0,4239.486111111111,52.5,1.0,2.0,2355.8194444444443,52.5,1.0,16.0,5240.444444444444,52.5,1.0,16.0,5207.666666666667,54.0,1.0,16.0,3253.25,49.5,1.0,2.0,1273.9027777777778,49.5,1.0,2.0,1196.736111111111,49.5,1.0,2.0,1225.3333333333333,49.5,1.0,16.0,4970.388888888889,49.5,1.0,16.0,5379.458333333333,49.5,1.0,0.0,6172.361111111111,49.5
