,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
1,0,Background,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
2,1,Marker,1095.911,1119.847,1740.212,903.729,1538.08,978.23,987.81,5796.385,2973.183,5533.191,2602.376,4436.627,8526.73,956.138,1859.519,2163.111,2608.933,2457.793,2302.697,2207.043,1242.688
4,100,Sample1,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
6,101,Sample2,57.0,63.0,52.5,48.0,3003.169,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,4779.981,48.0,48.0,48.0,48.0
5,103,Sample4,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
47,104,Sample5,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,72.74
8,107,Sample8,57.0,63.0,4862.236,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
7,111,Sample12,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
14,113,Sample14,57.0,63.0,52.5,48.0,48.0,48.0,48.0,101.833,63.0,77.113,58.96,61.494,61.97,51.0,183.368,211.542,235.556,229.875,265.097,265.833,48.0
3,114,Sample15,57.0,63.0,3229.689,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
42,202,Sample18,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,112.125,133.25,145.778,131.652,145.576,144.603,48.0
29,203,Sample19,57.0,63.0,52.5,48.0,48.0,48.0,48.0,2349.99,1487.709,1267.0,51.0,1293.281,1324.469,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
48,204,Sample20,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
30,208,Sample24,57.0,63.0,52.5,48.0,48.0,48.0,48.0,409.189,194.299,153.16,142.806,151.306,165.167,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
49,212,Sample28,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,73.05
28,213,Sample29,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,62.417,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
44,214,Sample30,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
35,302,Sample33,57.0,63.0,52.5,48.0,48.0,48.0,48.0,7534.652,7307.893,6822.949,4556.424,6978.518,7136.73,51.0,124.852,152.616,168.958,157.861,169.236,164.019,48.0
31,303,Sample34,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
15,305,Sample36,57.0,63.0,54.069,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
9,307,Sample37,1393.451,930.896,135.99,48.0,48.0,48.0,48.0,7077.153,8055.611,1918.882,518.54,563.42,2066.264,51.0,1411.653,2357.069,779.493,59.083,59.114,48.0,86.84
32,308,Sample38,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
16,310,Sample40,57.0,63.0,57.062,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
45,312,Sample42,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
34,313,Sample43,57.0,63.0,52.5,48.0,48.0,48.0,48.0,6988.789,5365.087,4946.936,4414.57,5077.986,5176.039,51.0,2436.209,3015.23,3411.68,3096.736,3279.583,3568.365,48.0
33,314,Sample44,57.0,63.0,52.5,48.0,48.0,48.0,48.0,9261.03,7610.116,7180.601,6546.709,7314.073,7400.839,51.0,58.699,55.5,68.83,56.727,58.44,61.871,48.0
17,400,Sample45,57.0,63.0,59.07,48.0,62.92,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
11,401,Sample46,6982.852,7379.342,6632.228,7006.15,5224.973,7381.25,48.0,75.569,63.0,68.923,51.0,51.0,61.849,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
19,402,Sample47,57.0,63.0,64.132,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
20,403,Sample48,57.0,63.0,52.5,48.0,48.0,48.0,48.0,297.722,195.451,147.879,148.021,143.417,151.674,51.0,257.986,340.507,388.125,383.132,391.444,383.611,48.0
10,407,Sample52,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
18,409,Sample54,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
46,410,Sample55,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
38,411,Sample56,57.0,63.0,52.5,48.0,48.0,48.0,48.0,12634.658,12701.49,13076.512,12422.862,13581.684,13772.786,51.0,357.382,430.035,533.312,335.314,520.229,535.743,48.0
12,412,Sample57,57.0,63.0,52.5,48.0,48.0,48.0,48.0,7161.276,5970.801,5848.39,5424.5,6182.286,6418.77,51.0,3098.168,3999.98,4839.847,4517.235,5004.026,5254.179,48.0
36,413,Sample58,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,1483.341,51.0,51.0,51.0,51.0,4880.378,5524.792,6600.984,6265.235,6779.864,7196.65,48.0
37,414,Sample59,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
13,501,Sample61,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
21,502,Sample62,57.0,63.0,52.5,48.0,48.0,48.0,48.0,82.29,63.0,55.5,51.0,58.938,60.712,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
40,503,Sample63,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
41,504,Sample64,57.0,63.0,52.5,48.0,48.0,48.0,48.0,310.99,257.454,244.77,240.199,200.097,135.036,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
22,506,Sample66,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
23,507,Sample67,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
24,508,Sample68,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
26,509,Sample69,57.0,63.0,52.5,48.0,60.311,48.0,48.0,937.25,496.306,417.861,371.951,390.444,408.583,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
25,510,Sample70,57.0,63.0,52.5,48.0,65.045,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
27,511,Sample71,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
39,512,Sample72,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
43,513,Sample73,57.0,63.0,52.5,48.0,48.0,48.0,48.0,58.5,63.0,55.5,51.0,51.0,51.0,51.0,49.5,55.5,55.5,48.0,48.0,48.0,48.0
