,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
1,0,Background,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
3,1,Marker,1694.071,1381.287,1590.128,1306.575,1847.829,454.43,1687.09,2238.833,2357.907,2372.089,2481.435,3293.286,421.508,3088.986,3797.178,4760.688,1065.643,3924.472,4870.487,434.105,2371.411
4,100,Sample1,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
7,101,Sample2,48.0,42.0,40.5,39.0,39.0,39.0,39.0,6482.867,6858.286,6734.924,7111.071,7389.84,42.0,8726.318,48.0,43.5,316.092,40.5,39.0,39.0,39.0
21,102,Sample3,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,278.319,290.986,40.5,311.785,345.535,39.0,39.0
8,103,Sample4,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
20,106,Sample7,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
6,107,Sample8,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
39,108,Sample9,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,132.73,40.5,39.0,39.0,39.0
9,109,Sample10,555.16,627.062,683.868,624.139,667.722,39.0,700.264,51.0,46.5,43.5,43.5,42.0,42.0,42.0,104.68,115.66,40.5,124.05,134.51,39.0,131.19
19,110,Sample11,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
5,111,Sample12,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,52.152,40.5,39.0,39.0,39.0
27,112,Sample13,48.0,42.0,40.5,39.0,39.0,39.0,39.0,235.715,241.472,278.889,252.375,277.917,42.0,298.611,48.0,54.04,40.5,47.248,49.75,39.0,52.02
18,113,Sample14,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
2,114,Sample15,48.0,42.0,40.5,39.0,39.0,9855.972,39.0,51.0,46.5,43.5,43.5,42.0,8690.936,42.0,48.0,43.5,7670.158,40.5,39.0,9271.744,39.0
37,200,Sample16,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,82.109,76.125,40.5,74.25,119.219,39.0,105.0
28,201,Sample17,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
36,202,Sample18,48.0,42.0,40.5,39.0,39.0,39.0,39.0,51.0,46.5,43.5,43.5,42.0,42.0,42.0,48.0,43.5,40.5,40.5,39.0,39.0,39.0
