,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.0,0.0,17.86111111111111,0.0,0.0,0.0,19.90277777777778,0.0,0.0,0.0,21.319444444444443,0.0,0.0,0.0,22.444444444444443,0.0,0.0,0.0,22.88888888888889,0.0,0.0,0.0,23.77777777777778,0.0,0.0,0.0,28.48611111111111,0.0,0.0,0.0,13.569444444444445,0.0,0.0,0.0,15.194444444444445,0.0,0.0,0.0,18.36111111111111,0.0,0.0,0.0,18.291666666666668,0.0,0.0,0.0,18.25,0.0,0.0,0.0,18.25,0.0,0.0,16.0,19.96875,0.0,0.0,0.0,12.305555555555555,0.0,0.0,0.0,12.875,0.0,0.0,16.0,15.76,0.0,0.0,0.0,17.97222222222222,0.0,0.0,16.0,17.59375,0.0,0.0,0.0,18.055555555555557,0.0,0.0,0.0,23.76388888888889,0.0
1,0.0,16.0,15.46,0.0,0.0,16.0,16.76,0.0,0.0,16.0,19.96,0.0,0.0,16.0,17.88,0.0,0.0,16.0,18.34,0.0,0.0,16.0,22.98,0.0,0.0,16.0,20.1,0.0,0.0,16.0,12.04,0.0,0.0,16.0,14.71875,0.0,0.0,16.0,17.75,0.0,0.0,16.0,16.5,0.0,0.0,16.0,18.9375,0.0,0.0,16.0,20.125,0.0,0.0,0.0,22.77777777777778,0.0,0.0,16.0,10.1,0.0,0.0,16.0,12.875,0.0,0.0,0.0,16.319444444444443,0.0,0.0,16.0,14.58,0.0,0.0,0.0,18.083333333333332,0.0,0.0,16.0,20.53125,0.0,0.0,16.0,17.08,0.0
2,0.0,15.0,15.92,0.0,0.0,15.0,16.44,0.0,0.0,15.0,19.74,0.0,0.0,15.0,18.28,0.0,0.0,15.0,19.8,0.0,0.0,15.0,22.32,0.0,0.0,15.0,23.04,0.0,0.0,15.0,12.12,0.0,0.0,15.0,12.82,0.0,0.0,15.0,14.86,0.0,0.0,8.0,15.98,0.0,0.0,15.0,17.4,0.0,0.0,15.0,19.26,0.0,0.0,15.0,18.58,0.0,0.0,15.0,10.32,0.0,0.0,15.0,12.58,0.0,0.0,15.0,15.16,0.0,0.0,15.0,15.08,0.0,0.0,8.0,17.72,0.0,0.0,15.0,19.42,0.0,0.0,15.0,16.9,0.0
3,0.0,8.0,14.8,0.0,0.0,8.0,16.74,0.0,0.0,1.0,19.18,0.0,0.0,8.0,19.58,0.0,0.0,12.0,19.9,0.0,0.0,12.0,23.8,0.0,0.0,8.0,22.76,0.0,0.0,8.0,12.54,0.0,0.0,12.0,13.54,0.0,0.0,12.0,16.7,0.0,0.0,15.0,15.18,0.0,0.0,8.0,16.46,0.0,0.0,8.0,18.78,0.0,0.0,8.0,20.5,0.0,0.0,12.0,10.4,0.0,0.0,8.0,12.98,0.0,0.0,8.0,14.96,0.0,0.0,8.0,14.88,0.0,0.0,15.0,16.5,0.0,0.0,8.0,18.98,0.0,0.0,12.0,19.64,0.0
4,0.0,1.0,14.86,0.0,0.0,1.0,17.12,0.0,0.0,12.0,19.66,0.0,0.0,1.0,18.36,0.0,0.0,8.0,19.16,0.0,0.0,8.0,23.92,0.0,0.0,1.0,25.94,0.0,0.0,1.0,12.96,0.0,0.0,8.0,13.86,0.0,0.0,8.0,15.94,0.0,0.0,12.0,14.98,0.0,0.0,12.0,17.02,0.0,0.0,12.0,19.42,0.0,0.0,12.0,19.3,0.0,0.0,8.0,11.18,0.0,0.0,1.0,11.66,0.0,0.0,1.0,15.02,0.0,0.0,12.0,14.74,0.0,0.0,12.0,16.58,0.0,0.0,12.0,19.48,0.0,0.0,8.0,20.28,0.0
5,0.0,12.0,16.28,0.0,0.0,12.0,17.0,0.0,0.0,8.0,19.32,0.0,0.0,12.0,18.56,0.0,0.0,4.0,19.46,0.0,0.0,1.0,20.88,0.0,0.0,12.0,23.94,0.0,0.0,12.0,12.38,0.0,0.0,1.0,13.18,0.0,0.0,1.0,15.8,0.0,0.0,4.0,16.14,0.0,0.0,4.0,18.92,0.0,0.0,1.0,17.2,0.0,0.0,1.0,20.58,0.0,0.0,4.0,10.82,0.0,0.0,12.0,12.36,0.0,0.0,12.0,15.8,0.0,0.0,4.0,15.22,0.0,0.0,4.0,17.56,0.0,0.0,4.0,18.1,0.0,0.0,1.0,20.96,0.0
6,0.0,4.0,15.56,0.0,0.0,4.0,17.28,0.0,0.0,4.0,19.38,0.0,0.0,4.0,18.68,0.0,0.0,1.0,20.18,0.0,0.0,4.0,22.66,0.0,0.0,4.0,26.02,0.0,0.0,4.0,12.14,0.0,0.0,4.0,13.28,0.0,0.0,4.0,15.92,0.0,0.0,1.0,16.08,0.0,0.0,1.0,17.18,0.0,0.0,4.0,18.08,0.0,0.0,4.0,21.7,0.0,0.0,2.0,11.02,0.0,0.0,4.0,12.4,0.0,0.0,4.0,14.86,0.0,0.0,1.0,15.82,0.0,0.0,1.0,16.68,0.0,0.0,1.0,17.02,0.0,0.0,4.0,20.3,0.0
7,0.0,2.0,15.72,0.0,0.0,2.0,17.36,0.0,0.0,2.0,19.18,0.0,0.0,2.0,18.68,0.0,0.0,2.0,20.02,0.0,0.0,2.0,21.22,0.0,0.0,2.0,25.4,0.0,0.0,2.0,12.68,0.0,0.0,2.0,13.44,0.0,0.0,2.0,16.74,0.0,0.0,2.0,15.48,0.0,0.0,2.0,17.3,0.0,0.0,2.0,17.28,0.0,0.0,2.0,20.72,0.0,0.0,1.0,11.0,0.0,0.0,2.0,12.54,0.0,0.0,2.0,14.72,0.0,0.0,2.0,15.16,0.0,0.0,2.0,16.78,0.0,0.0,2.0,17.72,0.0,0.0,2.0,21.16,0.0
8,1.0,10.0,2.763888888888889,0.0,1.0,10.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,16.0,18.62,0.0,1.0,16.0,20.66,0.0,1.0,16.0,22.38,0.0,1.0,16.0,22.54,0.0,1.0,10.0,2.0,0.0,1.0,16.0,13.64,0.0,1.0,16.0,15.82,0.0,1.0,10.0,1.0,0.0,1.0,16.0,17.44,0.0,1.0,16.0,18.84,0.0,1.0,16.0,18.18,0.0,1.0,10.0,2.02,0.0,1.0,16.0,12.52,0.0,1.0,16.0,15.74,0.0,1.0,16.0,14.98,0.0,1.0,16.0,17.42,0.0,1.0,16.0,19.16,0.0,1.0,16.0,18.56,0.0
9,1.0,16.0,15.12,0.0,1.0,16.0,17.62,0.0,1.0,16.0,19.56,0.0,1.0,10.0,1.0,0.0,1.0,10.0,3.013888888888889,0.0,1.0,10.0,1.0,0.0,1.0,0.0,19.12,0.0,1.0,16.0,12.36,0.0,1.0,10.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,16.0,15.9,0.0,1.0,10.0,1.0,0.0,1.0,0.0,16.64,0.0,1.0,0.0,20.96,0.0,1.0,16.0,10.72,0.0,1.0,10.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,16.54,0.0,1.0,0.0,21.34,0.0
