,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.0,0.0,18.875,0.0,0.0,0.0,22.36111111111111,0.0,0.0,0.0,22.38888888888889,0.0,0.0,0.0,23.25,0.0,0.0,0.0,24.0,0.0,0.0,0.0,23.930555555555557,0.0,0.0,0.0,31.319444444444443,0.0,0.0,0.0,17.194444444444443,0.0,0.0,0.0,18.333333333333332,0.0,0.0,0.0,21.791666666666668,0.0,0.0,0.0,22.72222222222222,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,21.36111111111111,0.0,0.0,0.0,25.916666666666668,0.0,0.0,0.0,14.88888888888889,0.0,0.0,0.0,16.194444444444443,0.0,0.0,16.0,19.8125,0.0,0.0,0.0,20.583333333333332,0.0,0.0,0.0,21.875,0.0,0.0,0.0,21.84722222222222,0.0,0.0,0.0,27.73611111111111,0.0
1,0.0,16.0,15.6,0.0,0.0,16.0,17.84,0.0,0.0,16.0,20.14,0.0,0.0,16.0,21.12,0.0,0.0,16.0,23.34,0.0,0.0,16.0,24.42,0.0,0.0,16.0,24.46,0.0,0.0,16.0,15.26,0.0,0.0,16.0,14.4,0.0,0.0,16.0,17.4,0.0,0.0,16.0,17.72,0.0,0.0,16.0,19.24,0.0,0.0,16.0,19.62,0.0,0.0,16.0,20.94,0.0,0.0,16.0,12.7,0.0,0.0,16.0,14.14,0.0,0.0,0.0,19.708333333333332,0.0,0.0,16.0,17.875,0.0,0.0,16.0,21.5625,0.0,0.0,16.0,23.59375,0.0,0.0,16.0,22.38,0.0
2,0.0,15.0,16.44,0.0,0.0,15.0,19.22,0.0,0.0,15.0,23.0,0.0,0.0,15.0,21.5,0.0,0.0,15.0,23.42,0.0,0.0,15.0,24.96,0.0,0.0,15.0,24.82,0.0,0.0,15.0,14.8,0.0,0.0,15.0,14.96,0.0,0.0,12.0,20.08,0.0,0.0,15.0,17.98,0.0,0.0,15.0,20.34,0.0,0.0,15.0,22.12,0.0,0.0,15.0,22.56,0.0,0.0,1.0,13.06,0.0,0.0,8.0,15.38,0.0,0.0,8.0,18.06,0.0,0.0,8.0,18.64,0.0,0.0,8.0,21.22,0.0,0.0,15.0,22.7,0.0,0.0,15.0,23.78,0.0
3,0.0,12.0,17.82,0.0,0.0,8.0,19.6,0.0,0.0,8.0,21.44,0.0,0.0,8.0,22.34,0.0,0.0,1.0,23.18,0.0,0.0,8.0,24.46,0.0,0.0,12.0,26.86,0.0,0.0,8.0,15.44,0.0,0.0,8.0,17.02,0.0,0.0,8.0,18.9,0.0,0.0,8.0,19.22,0.0,0.0,1.0,19.84,0.0,0.0,12.0,22.32,0.0,0.0,8.0,24.44,0.0,0.0,15.0,13.46,0.0,0.0,15.0,15.36,0.0,0.0,15.0,19.06,0.0,0.0,15.0,17.12,0.0,0.0,15.0,20.3,0.0,0.0,12.0,23.12,0.0,0.0,8.0,24.7,0.0
4,0.0,8.0,17.64,0.0,0.0,1.0,20.92,0.0,0.0,1.0,21.66,0.0,0.0,1.0,22.12,0.0,0.0,12.0,23.8,0.0,0.0,1.0,22.34,0.0,0.0,8.0,27.84,0.0,0.0,1.0,15.26,0.0,0.0,12.0,16.18,0.0,0.0,15.0,19.94,0.0,0.0,12.0,19.26,0.0,0.0,12.0,20.66,0.0,0.0,8.0,22.46,0.0,0.0,12.0,23.68,0.0,0.0,12.0,13.7,0.0,0.0,12.0,15.24,0.0,0.0,12.0,19.86,0.0,0.0,12.0,18.06,0.0,0.0,12.0,20.46,0.0,0.0,8.0,22.12,0.0,0.0,4.0,26.4,0.0
5,0.0,1.0,17.6,0.0,0.0,12.0,21.3,0.0,0.0,12.0,23.04,0.0,0.0,12.0,22.1,0.0,0.0,8.0,23.72,0.0,0.0,12.0,25.68,0.0,0.0,4.0,27.42,0.0,0.0,12.0,16.0,0.0,0.0,4.0,17.26,0.0,0.0,1.0,19.64,0.0,0.0,4.0,20.24,0.0,0.0,8.0,21.54,0.0,0.0,1.0,19.84,0.0,0.0,4.0,25.42,0.0,0.0,8.0,13.84,0.0,0.0,1.0,15.32,0.0,0.0,4.0,19.0,0.0,0.0,1.0,18.58,0.0,0.0,4.0,20.58,0.0,0.0,4.0,22.04,0.0,0.0,1.0,26.14,0.0
6,0.0,4.0,17.18,0.0,0.0,4.0,19.98,0.0,0.0,4.0,22.18,0.0,0.0,4.0,22.74,0.0,0.0,4.0,24.06,0.0,0.0,4.0,24.92,0.0,0.0,1.0,27.98,0.0,0.0,4.0,15.34,0.0,0.0,1.0,16.9,0.0,0.0,4.0,19.88,0.0,0.0,1.0,20.12,0.0,0.0,4.0,21.3,0.0,0.0,4.0,21.84,0.0,0.0,1.0,25.16,0.0,0.0,4.0,13.62,0.0,0.0,4.0,15.68,0.0,0.0,1.0,18.42,0.0,0.0,4.0,18.82,0.0,0.0,1.0,20.86,0.0,0.0,1.0,20.16,0.0,0.0,12.0,25.1,0.0
7,0.0,2.0,17.32,0.0,0.0,2.0,20.32,0.0,0.0,2.0,21.54,0.0,0.0,2.0,22.38,0.0,0.0,2.0,23.1,0.0,0.0,2.0,23.66,0.0,0.0,2.0,27.36,0.0,0.0,2.0,15.42,0.0,0.0,2.0,16.78,0.0,0.0,2.0,19.8,0.0,0.0,2.0,19.66,0.0,0.0,2.0,20.86,0.0,0.0,2.0,20.9,0.0,0.0,2.0,24.52,0.0,0.0,2.0,13.76,0.0,0.0,2.0,15.5,0.0,0.0,2.0,18.3,0.0,0.0,2.0,18.3,0.0,0.0,2.0,20.52,0.0,0.0,2.0,21.3,0.0,0.0,2.0,25.78,0.0
8,1.0,2.0,14.972222222222221,0.0,1.0,2.0,8.708333333333334,0.0,1.0,2.0,9.0,0.0,1.0,2.0,7.527777777777778,0.0,1.0,2.0,20.76388888888889,0.0,1.0,2.0,9.5,0.0,1.0,3.0,38.958333333333336,0.0,1.0,2.0,12.402777777777779,0.0,1.0,2.0,6.805555555555555,0.0,1.0,2.0,6.722222222222222,0.0,1.0,2.0,6.541666666666667,0.0,1.0,2.0,9.222222222222221,0.0,1.0,3.0,146.5204081632653,0.0,1.0,3.0,28.5,0.0,1.0,2.0,20.166666666666668,0.0,1.0,16.0,15.4,0.0,1.0,16.0,19.2,0.0,1.0,2.0,4.583333333333333,0.0,1.0,16.0,20.68,0.0,1.0,3.0,86.10204081632654,0.0,1.0,16.0,23.32,0.0
9,1.0,16.0,17.74,0.0,1.0,16.0,20.4,0.0,1.0,16.0,22.44,0.0,1.0,16.0,21.9,0.0,1.0,16.0,24.64,0.0,1.0,16.0,24.9,0.0,1.0,16.0,25.58,0.0,1.0,16.0,15.94,0.0,1.0,16.0,15.96,0.0,1.0,16.0,20.82,0.0,1.0,16.0,18.94,0.0,1.0,16.0,20.94,0.0,1.0,13.0,1.0,0.0,1.0,16.0,22.28,0.0,1.0,16.0,13.66,0.0,1.0,2.0,4.805555555555555,0.0,1.0,2.0,4.680555555555555,0.0,1.0,16.0,18.44,0.0,1.0,2.0,6.958333333333333,0.0,1.0,16.0,22.8,0.0,1.0,0.0,25.94,0.0
