,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
1,0,Background,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
2,1,Marker,928.771,569.585,638.001,662.244,1106.092,700.767,1333.955,768.861,477.714,583.087,602.14,628.73,4178.051,1067.916,788.031,470.017,562.897,554.908,640.317,1418.822,663.521
6,100,Sample1,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
8,101,Sample2,3974.171,3084.0,3252.352,3065.625,5400.509,3516.176,49.5,3339.861,2525.81,2788.694,2459.809,3202.639,52.5,54.0,4646.504,2058.019,2287.208,2258.889,2870.711,49.5,49.5
21,102,Sample3,49.5,49.5,49.5,49.5,49.5,49.5,9982.5,52.5,52.5,52.5,52.5,52.5,37701.371,7492.173,59.45,49.5,49.5,49.5,49.5,21796.484,49.5
7,103,Sample4,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
5,107,Sample8,49.5,49.5,49.5,49.5,49.5,49.5,2361.528,52.5,52.5,52.5,52.5,52.5,1848.671,1983.407,49.5,49.5,49.5,49.5,49.5,1818.657,49.5
4,111,Sample12,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
9,112,Sample13,60.67,49.5,49.5,49.5,67.07,49.5,49.5,63.125,52.5,52.5,52.5,52.5,311.291,54.0,88.66,49.5,49.5,49.5,49.5,49.5,49.5
3,114,Sample15,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
10,201,Sample17,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
22,202,Sample18,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,12188.814,54.0,49.5,49.5,49.5,49.5,49.5,10988.073,49.5
23,207,Sample23,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
12,211,Sample27,59.907,49.5,49.5,49.5,63.549,49.5,49.5,65.91,52.5,52.5,52.5,52.5,52.5,54.0,106.167,49.5,49.5,49.5,49.5,49.5,49.5
11,212,Sample28,83.202,97.479,120.271,130.521,91.76,138.938,49.5,90.283,111.812,135.424,125.681,108.222,52.5,54.0,96.423,103.112,132.924,127.444,111.528,49.5,49.5
15,301,Sample32,82.582,49.5,49.5,49.5,105.16,49.5,49.5,83.533,52.5,52.5,52.5,52.5,52.5,54.0,135.122,49.5,49.5,49.5,49.5,49.5,49.5
33,302,Sample33,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,550.359,54.0,49.5,49.5,49.5,49.5,49.5,58.97,49.5
32,310,Sample40,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
14,311,Sample41,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
13,312,Sample42,49.5,49.5,49.5,49.5,49.5,49.5,49.5,52.5,52.5,52.5,52.5,52.5,52.5,54.0,49.5,49.5,49.5,49.5,49.5,49.5,49.5
16,313,Sample43,66.104,49.5,49.5,49.5,75.625,49.5,5461.153,70.417,52.5,52.5,52.5,52.5,30028.324,3808.617,109.736,49.5,49.5,49.5,49.5,19784.188,49.5
24,314,Sample44,49.5,49.5,49.5,49.5,49.5,49.5,88.431,52.5,52.5,52.5,52.5,52.5,83.049,97.514,49.5,49.5,49.5,49.5,49.5,88.569,49.5
